School DBN,# of students over five active on register,# of students w/ at least one dose,% w/ at least one dose,# of students fully vaccinated,% fully vaccinated
01M015,169,62,0.367,53,0.314
01M019,168,79,0.47,65,0.387
01M020,307,159,0.518,123,0.401
01M034,244,99,0.406,71,0.291
01M063,161,76,0.472,58,0.36
01M064,185,77,0.416,66,0.357
01M110,296,164,0.554,153,0.517
01M134,165,58,0.352,41,0.248
01M140,325,158,0.486,126,0.388
01M142,283,101,0.357,75,0.265
01M184,674,579,0.859,545,0.809
01M188,377,141,0.374,104,0.276
01M292,284,203,0.715,180,0.634
01M315,282,220,0.78,206,0.73
01M332,191,136,0.712,114,0.597
01M361,252,168,0.667,142,0.563
01M363,221,178,0.805,156,0.706
01M364,219,125,0.571,111,0.507
01M378,170,107,0.629,90,0.529
01M448,510,409,0.802,380,0.745
01M450,693,562,0.811,528,0.762
01M458,125,72,0.576,47,0.376
01M515,469,292,0.623,215,0.458
01M539,1629,1435,0.881,1370,0.841
01M650,116,54,0.466,34,0.293
01M696,604,553,0.916,539,0.892
01M839,326,249,0.764,231,0.709
02M001,189,111,0.587,89,0.471
02M002,344,238,0.692,207,0.602
02M003,523,407,0.778,371,0.709
02M006,501,423,0.844,383,0.764
02M011,716,581,0.811,545,0.761
02M033,482,311,0.645,276,0.573
02M040,586,462,0.788,436,0.744
02M041,435,370,0.851,337,0.775
02M042,476,407,0.855,382,0.803
02M047,233,189,0.811,169,0.725
02M051,374,202,0.54,180,0.481
02M059,520,417,0.802,373,0.717
02M077,346,312,0.902,285,0.824
02M089,313,269,0.859,240,0.767
02M104,905,773,0.854,735,0.812
02M111,302,170,0.563,123,0.407
02M114,418,361,0.864,336,0.804
02M116,346,252,0.728,223,0.645
02M124,538,465,0.864,420,0.781
02M126,578,455,0.787,406,0.702
02M130,620,526,0.848,471,0.76
02M131,226,183,0.81,170,0.752
02M135,285,204,0.716,183,0.642
02M139,388,282,0.727,250,0.644
02M150,141,119,0.844,111,0.787
02M151,338,241,0.713,217,0.642
02M158,599,480,0.801,432,0.721
02M167,1144,964,0.843,912,0.797
02M177,221,180,0.814,175,0.792
02M183,479,435,0.908,392,0.818
02M198,387,277,0.716,252,0.651
02M212,257,179,0.696,162,0.63
02M217,655,505,0.771,470,0.718
02M225,290,209,0.721,196,0.676
02M234,453,409,0.903,376,0.83
02M255,337,302,0.896,289,0.858
02M260,767,709,0.924,678,0.884
02M267,379,304,0.802,272,0.718
02M276,712,597,0.838,559,0.785
02M280,461,357,0.774,323,0.701
02M281,397,302,0.761,276,0.695
02M282,503,409,0.813,380,0.755
02M288,421,314,0.746,289,0.686
02M289,234,208,0.889,195,0.833
02M290,361,293,0.812,273,0.756
02M294,348,284,0.816,267,0.767
02M296,233,171,0.734,147,0.631
02M297,602,473,0.786,431,0.716
02M298,558,435,0.78,398,0.713
02M300,244,175,0.717,156,0.639
02M303,325,233,0.717,206,0.634
02M305,328,249,0.759,219,0.668
02M308,341,249,0.73,222,0.651
02M312,534,487,0.912,467,0.875
02M313,144,63,0.438,41,0.285
02M316,111,82,0.739,72,0.649
02M340,276,219,0.793,201,0.728
02M343,331,252,0.761,229,0.692
02M347,147,100,0.68,84,0.571
02M374,504,394,0.782,360,0.714
02M376,466,434,0.931,415,0.891
02M392,391,264,0.675,216,0.552
02M393,457,321,0.702,275,0.602
02M394,274,168,0.613,111,0.405
02M397,414,359,0.867,343,0.829
02M399,204,157,0.77,135,0.662
02M400,1089,907,0.833,841,0.772
02M407,487,431,0.885,414,0.85
02M408,542,467,0.862,446,0.823
02M411,480,453,0.944,444,0.925
02M412,486,449,0.924,439,0.903
02M413,716,643,0.898,621,0.867
02M414,492,450,0.915,432,0.878
02M416,538,500,0.929,485,0.901
02M418,645,590,0.915,580,0.899
02M419,342,254,0.743,222,0.649
02M420,1677,1392,0.83,1314,0.784
02M422,551,410,0.744,383,0.695
02M425,277,220,0.794,188,0.679
02M427,222,166,0.748,122,0.55
02M432,245,196,0.8,177,0.722
02M437,300,225,0.75,200,0.667
02M438,317,225,0.71,188,0.593
02M439,434,388,0.894,372,0.857
02M442,125,109,0.872,104,0.832
02M449,409,317,0.775,298,0.729
02M459,323,230,0.712,198,0.613
02M475,3313,3133,0.946,3065,0.925
02M489,700,559,0.799,513,0.733
02M500,313,245,0.783,209,0.668
02M507,445,349,0.784,319,0.717
02M519,480,409,0.852,390,0.813
02M520,113,70,0.619,63,0.558
02M527,440,359,0.816,309,0.702
02M529,195,150,0.769,133,0.682
02M531,233,202,0.867,196,0.841
02M533,428,351,0.82,334,0.78
02M534,412,328,0.796,300,0.728
02M542,477,398,0.834,357,0.748
02M543,484,361,0.746,323,0.667
02M544,313,149,0.476,92,0.294
